"property","description","type","default","version","isEnum"
"description","Description of the step, optional property","ReactNode","-","",false
"disabled","Disable click","boolean","false","",false
"icon","Icon of the step, optional property","ReactNode","-","",false
"status","To specify the status. It will be automatically set by current of Steps if not configured. Optional values are: wait process finish error","string","wait","",false
"subTitle","Subtitle of the step","ReactNode","-","",false
"title","Title of the step","ReactNode","-","",false
