"property","description","type","default","version","isEnum"
"duration","Time to return to top（ms）","number","450","4.4.0",false
"target","Specifies the scrollable area dom node","() => HTMLElement","() => window","",false
"visibilityHeight","The BackTop button will not show until the scroll height reaches this value","number","400","",false
"onClick","A callback function, which can be executed when you click the button","function","-","",false
