"property","description","type","default","version","isEnum"
"gapDegree","The gap degree of half circle, 0 ~ 295","number","75",,false
"gapPosition","The gap position, options: top bottom left right","string","bottom",,false
"strokeWidth","To set the width of the dashboard progress, unit: percentage of the canvas width","number","6",,false
"width","To set the canvas width of the dashboard progress, unit: px","number","132",,false
