"property","description","type","default","version","isEnum"
"autoFocus","If get focus when component mounted","boolean","false","",false
"checked","Specifies whether the checkbox is selected","boolean","false","",false
"defaultChecked","Specifies the initial state: whether or not the checkbox is selected","boolean","false","",false
"disabled","If disable checkbox","boolean","false","",false
"indeterminate","The indeterminate checked state of checkbox","boolean","false","",false
"onChange","The callback function that is triggered when the state changes","function(e:Event)","-","",false
