"property","description","type","default","version","isEnum"
"closable","Whether the Tag can be closed","boolean","false","",false
"closeIcon","Custom close icon","ReactNode","-","4.4.0",false
"color","Color of the Tag","string","-","",false
"icon","Set the icon of tag","ReactNode","-","",false
"visible","Whether the Tag is closed or not","boolean","true","",false
"onClose","Callback executed when tag is closed","(e) => void","-","",false
