"property","description","type","default","version","isEnum"
"scrollToFirstRowOnChange","Whether to scroll to the top of the table when paging, sorting, filtering changes","boolean","-",,false
"x","Set horizontal scrolling, can also be used to specify the width of the scroll area, could be number, percent value, true and 'max-content'","string | number | true","-",,false
"y","Set vertical scrolling, can also be used to specify the height of the scroll area, could be string or number","string | number","-",,false
