"property","description","type","default","version","isEnum"
"children","Sub-menus or sub-menu items","Array<MenuItem | SubMenu>","-","",false
"disabled","Whether sub-menu is disabled","boolean","false","",false
"icon","Icon of sub menu","ReactNode","-","4.2.0",false
"key","Unique ID of the sub-menu","string","-","",false
"popupClassName","Sub-menu class name, not working when mode=""inline""","string","-","",false
"popupOffset","Sub-menu offset, not working when mode=""inline""","[number, number]","-","",false
"title","Title of sub menu","ReactNode","-","",false
"onTitleClick","Callback executed when the sub-menu title is clicked","function({ key, domEvent })","-","",false
