"property","description","type","default","version","isEnum"
"className","The className of Icon","string","-","",false
"rotate","Rotate by n degrees (not working in IE9)","number","-","",false
"spin","Rotate icon with animation","boolean","false","",false
"style","The style properties of icon, like fontSize and color","CSSProperties","-","",false
"twoToneColor","Only supports the two-tone icon. Specify the primary color","string (hex color)","-","",false
