"property","description","type","default","version","isEnum"
"alt","Image description","string","-","4.6.0",false
"fallback","Load failure fault-tolerant src","string","-","4.6.0",false
"height","Image height","string | number","-","4.6.0",false
"placeholder","Load placeholder, use default placeholder when set true","ReactNode","-","4.6.0",false
"preview","preview config, disabled when false","boolean | previewType","true","4.6.0 previewType:4.7.0",false
"src","Image path","string","-","4.6.0",false
"width","Image width","string | number","-","4.6.0",false
"onError","Load failed callback","(event: Event) => void","-","4.12.0",false
