"property","description","type","default","version","isEnum"
"align","Align items","start | end |center |baseline","-","4.2.0",false
"direction","The space direction","vertical | horizontal","horizontal","4.1.0",false
"size","The space size","Size | Size[]","small","4.1.0 | Array: 4.9.0",false
"split","Set split","ReactNode","-","4.7.0",false
"wrap","Auto wrap line, when horizontal effective","boolean","false","4.9.0",false
