"property","description","type","default","version","isEnum"
"filter","The function will receive two arguments, inputValue and option, if the function returns true, the option will be included in the filtered set; Otherwise, it will be excluded","function(inputValue, path): boolean","-","",false
"limit","Set the count of filtered items","number | false","50","",false
"matchInputWidth","Whether the width of list matches input, (how it looks)","boolean","true","",false
"render","Used to render filtered options","function(inputValue, path): ReactNode","-","",false
"sort","Used to sort filtered options","function(a, b, inputValue)","-","",false
